Date,Open,High,Low,Close,Adj Close,Volume
ðŸ˜‹,52.900002,53.180000,51.919998,52.950001,52.257160,106400
2021-11-29,53.130001,53.259998,51.020000,51.150002,50.480717,160300
2021-11-30,51.000000,52.599998,50.810001,51.740002,51.062996,325400
2021-12-01,52.669998,53.430000,52.000000,52.070000,51.388676,200100
2021-12-02,52.080002,54.299999,52.040001,53.880001,53.174992,168100
2021-12-03,53.959999,54.029999,52.790001,53.259998,52.563099,179700
2021-12-06,53.580002,54.730000,52.980000,54.509998,53.796745,159200
2021-12-07,54.959999,56.560001,54.950001,55.459999,54.734318,186500
2021-12-08,55.830002,57.869999,55.619999,57.540001,56.787098,233500
2021-12-09,57.080002,58.330002,55.330002,55.439999,54.714577,215400
2021-12-10,55.299999,56.820000,55.299999,56.230000,55.494240,152000
2021-12-13,55.950001,57.270000,55.430000,56.160000,55.425156,202200
2021-12-14,55.990002,57.540001,55.520000,55.630001,54.902092,268900
2021-12-15,55.720001,58.209999,55.599998,57.529999,56.777229,276800
2021-12-16,57.779999,58.689999,57.590000,58.330002,57.566761,503800
2021-12-17,58.070000,60.110001,57.560001,59.419998,58.642498,483000
2021-12-20,59.259998,59.549999,56.000000,59.240002,58.464855,336000
2021-12-21,59.639999,60.970001,59.240002,60.889999,60.093262,190500
2021-12-22,60.880001,63.090000,60.880001,63.080002,62.254608,201500
2021-12-23,63.099998,63.900002,62.459999,62.660000,61.840107,255200
2021-12-27,63.090000,64.110001,62.099998,63.799999,62.965187,189400
2021-12-28,64.400002,66.290001,64.129997,64.989998,64.139618,142900
2021-12-29,65.199997,66.330002,64.830002,65.910004,65.047592,134300
2021-12-30,65.910004,66.330002,64.410004,64.489998,63.646156,129700
2021-12-31,64.870003,65.379997,64.419998,64.440002,63.596817,204200
2022-01-03,64.639999,65.160004,61.049999,61.740002,60.932144,180800
2022-01-04,61.959999,62.990002,61.389999,61.500000,60.695282,146400
2022-01-05,61.470001,61.650002,58.810001,59.119999,58.346428,230900
2022-01-06,58.919998,59.869999,58.160000,59.470001,58.691849,115900
2022-01-07,59.200001,59.459999,57.759998,57.970001,57.211475,108200
2022-01-10,57.430000,57.570000,56.389999,57.400002,56.648933,122900
2022-01-11,57.360001,57.360001,56.340000,57.320000,56.569981,117100
2022-01-12,57.330002,58.360001,56.990002,57.830002,57.073307,210500
2022-01-13,58.279999,58.470001,57.349998,58.189999,57.428593,81100
2022-01-14,57.750000,58.310001,57.310001,58.099998,57.339771,139300
2022-01-18,57.799999,57.799999,55.610001,55.720001,54.990917,122500
2022-01-19,56.049999,56.049999,54.630001,54.660000,53.944782,204300
2022-01-20,54.750000,55.220001,52.349998,52.480000,51.793312,214900
2022-01-21,52.450001,53.029999,51.509998,52.080002,51.398540,210300
2022-01-24,51.299999,53.209999,50.279999,52.830002,52.138729,138000
2022-01-25,52.180000,52.540001,50.849998,50.900002,50.233986,125100
2022-01-26,51.639999,52.340000,49.369999,49.919998,49.266804,141600
2022-01-27,50.049999,50.799999,47.880001,48.130001,47.500225,144200
2022-01-28,48.389999,48.759998,46.799999,48.750000,48.112114,149000
2022-01-31,48.520000,50.320000,48.419998,50.320000,49.661572,134900
2022-02-01,50.340000,50.779999,49.020000,49.830002,49.177982,92400
2022-02-02,50.130001,50.130001,48.560001,49.349998,48.704262,122000
2022-02-03,48.790001,49.740002,48.619999,48.889999,48.250282,82500
2022-02-04,48.369999,49.340000,47.180000,48.689999,48.164219,188300
2022-02-07,49.049999,50.660000,49.049999,50.070000,49.529320,230400
2022-02-08,50.130001,51.150002,50.029999,50.900002,50.350357,173600
2022-02-09,51.540001,52.369999,51.529999,52.290001,51.725349,221700
2022-02-10,51.720001,52.310001,51.029999,51.310001,50.755932,189700
2022-02-11,51.450001,51.939999,50.080002,50.509998,49.964565,93900
2022-02-14,50.599998,51.630001,50.400002,50.799999,50.251438,193000
2022-02-15,51.700001,52.099998,50.939999,51.610001,51.052692,113100
2022-02-16,51.590000,51.849998,50.580002,51.090000,50.538303,104900
2022-02-17,50.840000,50.840000,49.099998,49.320000,48.787415,110600
2022-02-18,49.080002,49.950001,48.669998,49.500000,48.965477,130500
2022-02-22,49.080002,50.540001,48.970001,49.490002,48.955585,107200
2022-02-23,50.099998,50.320000,49.049999,49.480000,48.945690,125300
2022-02-24,48.349998,49.709999,47.070000,48.980000,48.451092,189600
2022-02-25,49.310001,50.369999,47.529999,50.340000,49.796402,136900
2022-02-28,49.799999,50.520000,48.950001,49.209999,48.678604,122800
2022-03-01,49.470001,50.490002,48.889999,49.889999,49.351265,166200
2022-03-02,50.070000,51.700001,50.070000,50.810001,50.261330,117700
2022-03-03,50.840000,51.380001,50.000000,50.570000,50.023922,89900
2022-03-04,49.959999,51.509998,49.590000,51.209999,50.657009,117400
2022-03-07,51.119999,51.889999,50.029999,50.660000,50.112946,141500
2022-03-08,50.560001,51.910000,50.509998,50.680000,50.132732,154100
2022-03-09,51.290001,52.040001,50.200001,50.490002,49.944786,191300
2022-03-10,49.990002,51.840000,49.990002,51.639999,51.082367,107200
2022-03-11,51.849998,52.889999,51.049999,51.160000,50.607548,104700
2022-03-14,51.310001,52.720001,51.160000,52.610001,52.041893,175300
2022-03-15,52.889999,53.910000,52.529999,53.360001,52.783794,137400
2022-03-16,53.990002,54.750000,53.529999,54.650002,54.059868,123000
2022-03-17,54.490002,54.900002,54.049999,54.130001,53.545479,100200
2022-03-18,54.189999,56.279999,54.020000,56.060001,55.454636,179200
2022-03-21,56.160000,56.160000,55.029999,55.250000,54.653381,97400
2022-03-22,55.389999,55.900002,55.020000,55.169998,54.574245,74300
2022-03-23,55.049999,55.049999,53.139999,53.349998,52.773899,128500
2022-03-24,53.369999,54.650002,52.950001,54.590000,54.000511,82200
2022-03-25,54.549999,54.939999,53.759998,54.860001,54.267597,83700
2022-03-28,55.090000,55.200001,53.709999,54.220001,53.634510,74600
2022-03-29,54.730000,54.840000,52.770000,52.919998,52.348541,123300
2022-03-30,52.700001,53.290001,52.380001,52.849998,52.279301,283600
2022-03-31,53.080002,54.099998,52.560001,53.330002,52.754120,209300
2022-04-01,53.279999,53.279999,51.150002,52.490002,51.923187,134200
2022-04-04,52.400002,52.509998,50.840000,52.330002,51.764915,108500
2022-04-05,52.250000,53.169998,52.000000,52.619999,52.051781,111900
2022-04-06,52.500000,52.790001,50.919998,51.110001,50.558090,103300
2022-04-07,51.090000,52.000000,50.849998,51.610001,51.052692,68700
2022-04-08,51.500000,52.470001,51.389999,51.619999,51.062580,92800
2022-04-11,51.459999,51.630001,50.830002,50.880001,50.330574,49900
2022-04-12,51.310001,52.070000,51.279999,51.529999,50.973553,61700
2022-04-13,51.490002,52.209999,51.020000,52.000000,51.438480,76700
2022-04-14,52.290001,52.619999,51.779999,51.880001,51.319775,74300
2022-04-18,51.799999,52.650002,51.619999,52.209999,51.646210,53100
2022-04-19,52.049999,53.630001,52.049999,53.139999,52.566170,68700
2022-04-20,53.439999,53.950001,52.709999,52.990002,52.417789,82300
2022-04-21,53.279999,53.680000,52.020000,52.270000,51.705563,57600
2022-04-22,52.020000,52.070000,49.410000,49.590000,49.054504,262600
2022-04-25,49.049999,49.790001,48.349998,49.730000,49.192989,120400
2022-04-26,49.439999,50.419998,48.310001,48.480000,47.956490,80400
2022-04-27,48.529999,49.110001,48.320000,48.619999,48.094975,114400
2022-04-28,49.630001,49.630001,44.360001,44.869999,44.385471,283800
2022-04-29,44.320000,44.599998,42.369999,42.889999,42.426853,193100
2022-05-02,43.049999,44.049999,41.320000,42.150002,41.694847,140100
2022-05-03,41.980000,42.040001,41.070000,41.570000,41.121105,139200
2022-05-04,42.139999,43.570000,41.580002,43.340000,42.871994,139900
2022-05-05,42.810001,42.950001,40.880001,41.490002,41.041969,85600
2022-05-06,41.330002,41.529999,40.220001,41.299999,40.965595,112400
2022-05-09,40.669998,40.799999,39.500000,40.070000,39.745556,171400
2022-05-10,40.230000,40.970001,39.150002,39.290001,38.971874,263400
2022-05-11,39.590000,40.700001,38.900002,38.990002,38.674301,212500
2022-05-12,39.110001,40.000000,38.610001,39.490002,39.170254,124400
2022-05-13,39.900002,40.549999,39.490002,39.520000,39.200008,74700
2022-05-16,39.380001,40.060001,39.169998,39.520000,39.200008,207400
2022-05-17,39.970001,40.830002,39.840000,40.669998,40.340694,93400
2022-05-18,40.139999,40.230000,38.509998,38.680000,38.366810,91300
2022-05-19,38.360001,39.160000,37.779999,38.500000,38.188267,117900
2022-05-20,38.709999,38.840000,37.330002,38.330002,38.019646,97700
2022-05-23,38.740002,39.330002,38.119999,38.709999,38.396564,103000
2022-05-24,39.070000,39.119999,38.000000,38.799999,38.485840,89800
2022-05-25,38.419998,39.740002,38.419998,39.160000,38.842922,114900
2022-05-26,39.570000,40.570000,39.419998,40.049999,39.725716,75200
2022-05-27,40.110001,40.759998,40.049999,40.419998,40.092720,93800
2022-05-31,40.220001,40.770000,39.529999,40.369999,40.043125,216100
2022-06-01,40.700001,41.220001,40.000000,40.869999,40.539078,84500
2022-06-02,40.939999,41.750000,40.900002,41.599998,41.263165,76600
2022-06-03,41.310001,41.330002,40.439999,40.639999,40.310940,71400
2022-06-06,40.930000,41.560001,40.220001,41.369999,41.035027,88000
2022-06-07,40.990002,41.939999,40.990002,41.889999,41.550816,70100
2022-06-08,41.709999,41.880001,40.919998,41.099998,40.767216,90900
2022-06-09,40.660000,41.330002,40.110001,40.919998,40.588669,139300
2022-06-10,40.259998,40.259998,39.099998,39.570000,39.249599,155600
2022-06-13,38.869999,38.869999,37.090000,37.340000,37.037663,180500
2022-06-14,37.299999,38.000000,37.150002,37.910000,37.603046,123900
2022-06-15,38.000000,38.820000,37.919998,38.380001,38.069241,186400
2022-06-16,37.840000,37.840000,35.689999,35.980000,35.688671,133400
2022-06-17,36.099998,36.349998,35.459999,35.639999,35.351421,233600
2022-06-21,36.349998,37.759998,36.139999,37.740002,37.434425,120400
2022-06-22,37.009998,37.619999,36.500000,36.880001,36.581387,163100
2022-06-23,36.910000,37.570000,36.570000,37.560001,37.255878,136900
2022-06-24,37.639999,39.400002,37.639999,39.400002,39.080978,602800
2022-06-27,39.610001,39.980000,38.630001,39.810001,39.487663,127200
2022-06-28,40.070000,40.630001,39.320000,39.340000,39.021465,146100
2022-06-29,39.430000,39.430000,38.720001,39.009998,38.694138,117100
2022-06-30,38.520000,39.650002,37.830002,39.650002,39.328957,155000
2022-07-01,39.419998,40.310001,39.340000,40.230000,39.904259,72500
2022-07-05,39.759998,40.009998,38.950001,39.930000,39.606689,76600
2022-07-06,40.080002,40.220001,39.200001,39.540001,39.219845,72100
2022-07-07,39.740002,40.349998,39.740002,39.939999,39.616604,56300
2022-07-08,39.900002,40.180000,39.580002,39.980000,39.656284,50000
2022-07-11,39.790001,40.099998,39.250000,39.369999,39.051220,47100
2022-07-12,39.250000,39.759998,39.090000,39.169998,38.852837,66100
2022-07-13,39.000000,39.340000,38.680000,39.080002,38.763573,70200
2022-07-14,38.549999,39.689999,38.450001,39.320000,39.001629,60400
2022-07-15,39.980000,40.869999,39.669998,40.389999,40.062962,65800
2022-07-18,40.849998,41.009998,39.439999,39.599998,39.279358,47800
2022-07-19,40.130001,41.209999,40.130001,41.110001,40.777134,73100
2022-07-20,40.980000,41.490002,40.669998,41.250000,40.916000,64900
2022-07-21,41.169998,42.520000,40.889999,42.520000,42.175716,60600
2022-07-22,42.580002,42.889999,41.990002,42.540001,42.195557,50200
2022-07-25,42.529999,43.169998,42.150002,42.910000,42.562561,205700
2022-07-26,42.910000,43.669998,42.810001,43.669998,43.316402,94100
2022-07-27,44.060001,44.520000,43.220001,44.049999,43.693329,112900
2022-07-28,39.009998,39.689999,35.240002,36.840000,36.541706,358500
2022-07-29,36.779999,36.840000,34.700001,36.279999,35.986240,250100
2022-08-01,35.939999,37.959999,35.540001,37.700001,37.394745,224600
2022-08-02,37.840000,40.380001,37.500000,38.660000,38.346973,233700
2022-08-03,38.650002,38.700001,35.810001,36.000000,35.708511,189700
2022-08-04,36.160000,36.369999,34.220001,34.240002,33.962765,143900
2022-08-05,34.540001,36.810001,34.320000,36.680000,36.503475,184500
2022-08-08,37.130001,37.650002,35.740002,35.820000,35.647614,164900
2022-08-09,36.200001,36.410000,35.639999,36.380001,36.204918,72600
2022-08-10,37.009998,38.930000,36.959999,38.520000,38.334618,108400
2022-08-11,38.720001,39.130001,37.860001,38.040001,37.856930,85700
2022-08-12,38.400002,40.060001,38.310001,39.849998,39.658215,87000
2022-08-15,40.500000,41.509998,40.200001,41.029999,40.832539,175100
2022-08-16,40.580002,41.389999,40.410000,40.630001,40.434464,124700
2022-08-17,40.400002,40.910000,40.029999,40.630001,40.434464,127200
2022-08-18,40.369999,40.840000,40.049999,40.410000,40.215523,69600
2022-08-19,40.150002,40.680000,39.689999,40.180000,39.986629,118500
2022-08-22,39.639999,39.660000,37.930000,38.270000,38.085823,105000
2022-08-23,38.220001,39.150002,38.220001,38.770000,38.583416,71600
2022-08-24,38.509998,39.099998,38.130001,38.560001,38.374428,70100
2022-08-25,38.910000,38.910000,38.110001,38.380001,38.195293,47000
2022-08-26,38.029999,38.360001,37.430000,37.520000,37.339432,87900
2022-08-29,37.099998,37.299999,36.660000,37.009998,36.831882,64600
2022-08-30,37.130001,37.130001,36.380001,36.430000,36.254677,113600
2022-08-31,36.650002,36.869999,35.040001,35.410000,35.239586,204800
2022-09-01,35.200001,36.180000,35.070000,35.660000,35.488384,92500
2022-09-02,36.209999,36.320000,35.410000,35.680000,35.508286,70700
2022-09-06,35.950001,35.950001,34.840000,35.270000,35.100262,74500
2022-09-07,35.349998,35.669998,34.810001,35.610001,35.438625,63700
2022-09-08,35.400002,35.400002,34.639999,34.900002,34.732040,63500
2022-09-09,35.310001,35.630001,34.779999,35.450001,35.279396,54600
2022-09-12,35.639999,36.590000,35.320000,36.279999,36.105396,103200
2022-09-13,35.680000,35.950001,34.799999,35.020000,34.851463,80300
2022-09-14,35.009998,35.009998,34.090000,34.560001,34.393677,98600
2022-09-15,34.330002,34.939999,34.189999,34.410000,34.244400,81800
2022-09-16,34.119999,34.160000,32.790001,34.090000,33.925938,211900
2022-09-19,33.779999,34.320000,33.400002,33.779999,33.617428,65000
2022-09-20,33.419998,33.790001,32.500000,33.070000,32.910847,116800
2022-09-21,33.080002,33.990002,32.529999,32.650002,32.492870,93400
2022-09-22,32.570000,32.570000,31.379999,31.770000,31.617104,118500
2022-09-23,31.290001,31.290001,30.450001,30.990000,30.840857,112500
2022-09-26,30.770000,31.760000,30.770000,31.209999,31.059797,133800
2022-09-27,31.420000,32.270000,31.010000,31.580000,31.428019,154000
2022-09-28,31.870001,33.150002,31.680000,32.840000,32.681953,122600
2022-09-29,32.410000,32.410000,31.360001,32.119999,31.965418,89600
2022-09-30,32.080002,33.240002,32.040001,32.160000,32.005226,124300
2022-10-03,32.619999,33.910000,32.000000,33.570000,33.408440,107300
2022-10-04,33.740002,34.630001,33.740002,34.160000,33.995602,242900
2022-10-05,33.849998,34.320000,33.480000,33.590000,33.428345,104600
2022-10-06,33.480000,33.790001,33.150002,33.310001,33.149693,92500
2022-10-07,33.000000,33.000000,31.650000,32.230000,32.074890,95900
2022-10-10,32.060001,33.200001,32.060001,32.779999,32.622242,63800
2022-10-11,32.869999,33.230000,31.920000,32.389999,32.234119,100900
2022-10-12,32.419998,32.720001,31.740000,31.790001,31.637009,113000
2022-10-13,31.219999,32.070000,31.000000,31.490000,31.338451,161200
2022-10-14,31.700001,31.820000,30.879999,30.940001,30.791100,108600
2022-10-17,31.459999,32.000000,31.459999,31.690001,31.537489,110700
2022-10-18,32.169998,32.919998,31.980000,32.500000,32.343590,144600
2022-10-19,32.169998,32.660000,31.250000,31.469999,31.318546,86500
2022-10-20,31.570000,31.830000,30.680000,30.760000,30.611965,97000
2022-10-21,30.740000,31.030001,29.969999,30.690001,30.542301,103000
2022-10-24,31.000000,31.129999,30.400000,30.760000,30.611965,89300
2022-10-25,30.549999,31.740000,30.450001,31.469999,31.318546,61900
2022-10-26,31.660000,32.669998,31.559999,32.070000,31.915659,143200
2022-10-27,28.299999,28.370001,23.350000,23.400000,23.287384,514100
2022-10-28,23.580000,24.520000,22.709999,24.299999,24.183054,282500
2022-10-31,24.559999,24.770000,23.590000,24.410000,24.292524,177200
2022-11-01,24.719999,24.719999,23.400000,23.879999,23.765074,169700
2022-11-02,24.059999,25.120001,23.770000,24.129999,24.013870,296000
2022-11-03,24.059999,24.219999,23.309999,23.480000,23.367001,153400
2022-11-04,23.670000,24.049999,22.760000,24.000000,24.000000,182600
2022-11-07,24.010000,24.860001,23.610001,24.809999,24.809999,136900
2022-11-08,24.860001,26.600000,24.860001,26.139999,26.139999,218900
2022-11-09,25.790001,25.820000,24.400000,24.430000,24.430000,124700
2022-11-10,25.510000,26.309999,25.299999,25.959999,25.959999,107200
2022-11-11,26.010000,26.010000,25.070000,25.400000,25.400000,113900
2022-11-14,25.350000,25.650000,24.780001,24.830000,24.830000,63700
2022-11-15,25.270000,25.590000,24.879999,25.290001,25.290001,58800
2022-11-16,25.250000,25.250000,24.540001,24.740000,24.740000,109600
2022-11-17,24.540001,25.150000,24.500000,24.790001,24.790001,53900
2022-11-18,25.209999,25.209999,23.910000,24.070000,24.070000,79400
2022-11-21,24.150000,24.209999,23.410000,23.879999,23.879999,85500
2022-11-22,23.980000,24.309999,23.660000,23.950001,23.950001,54900
2022-11-23,24.030001,24.360001,23.820000,24.139999,24.139999,48900